track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-12T23:29:09.893782+05:30,2026-09-12T23:29:09.893782+05:30,2026-09-12T23:29:26.577356+05:30,2026-09-12T23:29:26.577356+05:30,,,0.0,16.683574,"{""Zone A"": 16.683574}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-12T23:29:09.893782+05:30"", ""exited_at"": ""2026-09-12T23:29:26.577356+05:30"", ""dwell_seconds"": 16.683574}]"
2,2026-09-12T23:29:26.121131+05:30,2026-09-12T23:29:26.121131+05:30,2026-09-12T23:29:27.093715+05:30,2026-09-12T23:29:27.093715+05:30,,,0.0,0.972584,"{""Zone A"": 0.972584}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-12T23:29:26.121131+05:30"", ""exited_at"": ""2026-09-12T23:29:27.093715+05:30"", ""dwell_seconds"": 0.972584}]"
3,2026-09-12T23:29:26.199990+05:30,,2026-09-12T23:29:35.453834+05:30,2026-09-12T23:29:35.453834+05:30,,,0.0,9.253844,"{""Zone A"": 9.253844}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-12T23:29:26.199990+05:30"", ""exited_at"": ""2026-09-12T23:29:35.453834+05:30"", ""dwell_seconds"": 9.253844}]"
5,2026-09-12T23:29:39.559042+05:30,2026-09-12T23:29:39.559042+05:30,2026-09-12T23:29:52.920690+05:30,2026-09-12T23:29:52.920690+05:30,,,0.0,13.361648,"{""Zone A"": 13.361648}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-12T23:29:39.559042+05:30"", ""exited_at"": ""2026-09-12T23:29:52.920690+05:30"", ""dwell_seconds"": 13.361648}]"
6,2026-09-12T23:29:35.561985+05:30,2026-09-12T23:29:35.561985+05:30,,2026-09-12T23:29:59.285298+05:30,5168e834-5cb8-4ca3-b953-1d917b02c2c8,Zone A,23.723313,23.723313,{},[]
