track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-10T21:47:21.040922+05:30,2026-09-10T21:47:21.040922+05:30,,2026-09-10T21:48:05.657682+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,44.61676,44.61676,{},[]
3,2026-09-10T21:47:25.835111+05:30,,,2026-09-10T21:47:27.258330+05:30,,,0.0,0.0,{},[]
4,2026-09-10T21:47:34.736994+05:30,,,2026-09-10T21:47:41.469477+05:30,,,0.0,0.0,{},[]
5,2026-09-10T21:47:45.068063+05:30,,,2026-09-10T21:47:45.351562+05:30,,,0.0,0.0,{},[]
