track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-11T23:29:44.152683+05:30,2026-09-11T23:29:44.152683+05:30,,2026-09-11T23:30:25.325871+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,41.173188,41.173188,{},[]
2,2026-09-11T23:30:12.447662+05:30,2026-09-11T23:30:12.447662+05:30,,2026-09-11T23:30:14.203058+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,12.878209,12.878209,{},[]
3,2026-09-11T23:30:12.447662+05:30,2026-09-11T23:30:12.447662+05:30,2026-09-11T23:30:14.442299+05:30,2026-09-11T23:30:14.442299+05:30,,,0.0,1.994637,"{""Zone 1"": 1.994637}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:30:12.447662+05:30"", ""exited_at"": ""2026-09-11T23:30:14.442299+05:30"", ""dwell_seconds"": 1.994637}]"
