track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-11T23:51:30.033568+05:30,2026-09-11T23:51:30.033568+05:30,,2026-09-11T23:52:30.573168+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,60.5396,60.5396,{},[]
2,2026-09-11T23:51:38.590202+05:30,2026-09-11T23:51:38.590202+05:30,2026-09-11T23:51:40.185355+05:30,2026-09-11T23:51:40.185355+05:30,,,0.0,1.595153,"{""Zone 1"": 1.595153}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:51:38.590202+05:30"", ""exited_at"": ""2026-09-11T23:51:40.185355+05:30"", ""dwell_seconds"": 1.595153}]"
3,2026-09-11T23:51:57.229115+05:30,2026-09-11T23:51:57.229115+05:30,2026-09-11T23:51:59.535643+05:30,2026-09-11T23:51:59.535643+05:30,,,0.0,2.306528,"{""Zone 1"": 2.306528}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:51:57.229115+05:30"", ""exited_at"": ""2026-09-11T23:51:59.535643+05:30"", ""dwell_seconds"": 2.306528}]"
4,2026-09-11T23:51:49.949329+05:30,2026-09-11T23:51:49.949329+05:30,2026-09-11T23:51:53.266989+05:30,2026-09-11T23:51:53.266989+05:30,,,0.0,3.31766,"{""Zone 1"": 3.31766}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:51:49.949329+05:30"", ""exited_at"": ""2026-09-11T23:51:53.266989+05:30"", ""dwell_seconds"": 3.31766}]"
5,2026-09-11T23:52:03.623587+05:30,2026-09-11T23:52:03.623587+05:30,2026-09-11T23:52:11.967057+05:30,2026-09-11T23:52:11.967057+05:30,,,0.0,8.34347,"{""Zone 1"": 8.34347}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:52:03.623587+05:30"", ""exited_at"": ""2026-09-11T23:52:11.967057+05:30"", ""dwell_seconds"": 8.34347}]"
6,2026-09-11T23:52:11.967057+05:30,2026-09-11T23:52:11.967057+05:30,2026-09-11T23:52:17.479648+05:30,2026-09-11T23:52:17.479648+05:30,,,0.0,5.512591,"{""Zone 1"": 5.512591}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:52:11.967057+05:30"", ""exited_at"": ""2026-09-11T23:52:17.479648+05:30"", ""dwell_seconds"": 5.512591}]"
7,2026-09-11T23:52:18.910146+05:30,2026-09-11T23:52:18.910146+05:30,2026-09-11T23:52:21.747835+05:30,2026-09-11T23:52:21.747835+05:30,,,0.0,2.837689,"{""Zone 1"": 2.837689}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:52:18.910146+05:30"", ""exited_at"": ""2026-09-11T23:52:21.747835+05:30"", ""dwell_seconds"": 2.837689}]"
8,2026-09-11T23:52:28.756162+05:30,2026-09-11T23:52:28.756162+05:30,,2026-09-11T23:52:30.573168+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,1.817006,1.817006,{},[]
