track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-05T22:24:52.285260+05:30,2026-09-05T22:24:52.285260+05:30,,2026-09-05T22:25:32.588957+05:30,9abd26dd-f4a6-4077-b562-3ae8b925fa4e,Zone A,40.303697,40.303697,{},[]
2,2026-09-05T22:24:46.908093+05:30,,,2026-09-05T22:24:47.535693+05:30,,,0.0,0.0,{},[]
3,2026-09-05T22:24:49.310590+05:30,2026-09-05T22:24:49.310590+05:30,2026-09-05T22:24:50.406677+05:30,2026-09-05T22:24:50.406677+05:30,,,0.0,1.096087,"{""Zone A"": 1.096087}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-05T22:24:49.310590+05:30"", ""exited_at"": ""2026-09-05T22:24:50.406677+05:30"", ""dwell_seconds"": 1.096087}]"
4,2026-09-05T22:25:06.853283+05:30,2026-09-05T22:25:06.853283+05:30,,2026-09-05T22:25:08.977789+05:30,9abd26dd-f4a6-4077-b562-3ae8b925fa4e,Zone A,25.735674,25.735674,{},[]
5,2026-09-05T22:25:15.105838+05:30,2026-09-05T22:25:15.105838+05:30,2026-09-05T22:25:17.022181+05:30,2026-09-05T22:25:17.022181+05:30,,,0.0,1.916343,"{""Zone A"": 1.916343}","[{""zone_name"": ""Zone A"", ""entered_at"": ""2026-09-05T22:25:15.105838+05:30"", ""exited_at"": ""2026-09-05T22:25:17.022181+05:30"", ""dwell_seconds"": 1.916343}]"
