track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-11T23:30:50.941285+05:30,2026-09-11T23:30:50.941285+05:30,,2026-09-11T23:31:45.986816+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,55.045531,55.045531,{},[]
2,2026-09-11T23:31:32.965037+05:30,2026-09-11T23:31:32.965037+05:30,2026-09-11T23:31:34.314522+05:30,2026-09-11T23:31:34.314522+05:30,,,0.0,1.349485,"{""Zone 1"": 1.349485}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:31:32.965037+05:30"", ""exited_at"": ""2026-09-11T23:31:34.314522+05:30"", ""dwell_seconds"": 1.349485}]"
3,2026-09-11T23:31:40.848260+05:30,2026-09-11T23:31:40.848260+05:30,2026-09-11T23:31:41.824541+05:30,2026-09-11T23:31:41.824541+05:30,,,0.0,0.976281,"{""Zone 1"": 0.976281}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:31:40.848260+05:30"", ""exited_at"": ""2026-09-11T23:31:41.824541+05:30"", ""dwell_seconds"": 0.976281}]"
4,2026-09-11T23:31:42.932692+05:30,2026-09-11T23:31:42.932692+05:30,,2026-09-11T23:31:45.986816+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,3.054124,3.054124,{},[]
