track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-11T23:26:44.081046+05:30,2026-09-11T23:26:44.081046+05:30,,2026-09-11T23:27:17.936729+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,33.855683,33.855683,{},[]
2,2026-09-11T23:26:54.985777+05:30,2026-09-11T23:26:54.985777+05:30,2026-09-11T23:27:06.031973+05:30,2026-09-11T23:27:06.031973+05:30,,,0.0,11.046196,"{""Zone 1"": 11.046196}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:26:54.985777+05:30"", ""exited_at"": ""2026-09-11T23:27:06.031973+05:30"", ""dwell_seconds"": 11.046196}]"
3,2026-09-11T23:26:59.738241+05:30,2026-09-11T23:26:59.738241+05:30,2026-09-11T23:27:00.901840+05:30,2026-09-11T23:27:00.901840+05:30,,,0.0,1.163599,"{""Zone 1"": 1.163599}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-11T23:26:59.738241+05:30"", ""exited_at"": ""2026-09-11T23:27:00.901840+05:30"", ""dwell_seconds"": 1.163599}]"
